Lat,Lon,VSM,TAV,TAH,Tsoil,Tveg,VWC,S%,C%,VSM_err
49.3829,-97.819,0.246,277.02,235.76,19.8,19.8,1.27,0.12,0.61,0.0188
49.3829,-97.8138,0.2477,275.87,236.38,19.8,19.8,1.05,0.11,0.62,0.0174
49.3829,-97.8086,0.2393,275.42,235.76,19.8,19.8,0.83,0.11,0.62,0.016
49.3829,-97.8034,0.2137,277.38,233.19,19.8,19.8,0.77,0.1,0.65,0.0178
49.3829,-97.7982,0.1848,279.69,231.33,19.8,19.8,0.83,0.1,0.65,0.0184
49.3829,-97.7931,0.1831,280.26,230.54,19.8,19.8,0.95,0.1,0.65,0.0224
49.3829,-97.7879,0.2067,278.51,228.96,19.8,19.8,0.87,0.1,0.65,0.0191
49.3829,-97.7827,0.2342,275.94,228.0,19.8,19.8,0.78,0.1,0.65,0.0144
49.3829,-97.7775,0.2558,273.61,228.09,19.8,19.8,0.98,0.1,0.65,0.0157
49.3829,-97.7723,0.2755,271.68,227.03,19.8,19.8,1.25,0.1,0.65,0.0113
